time,open,high,low,close,volume
1517443200000,30.0,30.0,30.0,30.0,0
1517529600000,15.0,15.0,15.0,15.0,0
1517616000000,40.0,40.0,40.0,40.0,0
1517702400000,24.0,24.0,24.0,24.0,0
1517788800000,11.0,11.0,11.0,11.0,0
1517875200000,8.0,8.0,8.0,8.0,0
1517961600000,36.0,36.0,36.0,36.0,0
1518048000000,30.0,30.0,30.0,30.0,0
1518134400000,44.0,44.0,44.0,44.0,0
1518220800000,54.0,54.0,54.0,54.0,0
1518307200000,31.0,31.0,31.0,31.0,0
1518393600000,42.0,42.0,42.0,42.0,0
1518480000000,35.0,35.0,35.0,35.0,0
1518566400000,55.0,55.0,55.0,55.0,0
1518652800000,71.0,71.0,71.0,71.0,0
1518739200000,67.0,67.0,67.0,67.0,0
1518825600000,74.0,74.0,74.0,74.0,0
1518912000000,63.0,63.0,63.0,63.0,0
1518998400000,67.0,67.0,67.0,67.0,0
1519084800000,74.0,74.0,74.0,74.0,0
1519171200000,54.0,54.0,54.0,54.0,0
1519257600000,44.0,44.0,44.0,44.0,0
1519344000000,39.0,39.0,39.0,39.0,0
1519430400000,31.0,31.0,31.0,31.0,0
1519516800000,33.0,33.0,33.0,33.0,0
1519603200000,37.0,37.0,37.0,37.0,0
1519689600000,44.0,44.0,44.0,44.0,0
1519776000000,41.0,41.0,41.0,41.0,0
1519862400000,38.0,38.0,38.0,38.0,0
1519948800000,47.0,47.0,47.0,47.0,0
1520035200000,56.0,56.0,56.0,56.0,0
1520121600000,44.0,44.0,44.0,44.0,0
1520208000000,55.0,55.0,55.0,55.0,0
1520294400000,59.0,59.0,59.0,59.0,0
1520380800000,37.0,37.0,37.0,37.0,0
1520467200000,39.0,39.0,39.0,39.0,0
1520553600000,37.0,37.0,37.0,37.0,0
1520640000000,39.0,39.0,39.0,39.0,0
1520726400000,40.0,40.0,40.0,40.0,0
1520812800000,41.0,41.0,41.0,41.0,0
1520899200000,41.0,41.0,41.0,41.0,0
1520985600000,40.0,40.0,40.0,40.0,0
1521072000000,32.0,32.0,32.0,32.0,0
1521158400000,33.0,33.0,33.0,33.0,0
1521244800000,31.0,31.0,31.0,31.0,0
1521331200000,29.0,29.0,29.0,29.0,0
1521417600000,29.0,29.0,29.0,29.0,0
1521504000000,37.0,37.0,37.0,37.0,0
1521590400000,36.0,36.0,36.0,36.0,0
1521676800000,36.0,36.0,36.0,36.0,0
1521763200000,28.0,28.0,28.0,28.0,0
1521849600000,32.0,32.0,32.0,32.0,0
1521936000000,30.0,30.0,30.0,30.0,0
1522022400000,31.0,31.0,31.0,31.0,0
1522108800000,24.0,24.0,24.0,24.0,0
1522195200000,24.0,24.0,24.0,24.0,0
1522281600000,18.0,18.0,18.0,18.0,0
1522368000000,12.0,12.0,12.0,12.0,0
1522454400000,16.0,16.0,16.0,16.0,0
1522540800000,16.0,16.0,16.0,16.0,0
1522627200000,11.0,11.0,11.0,11.0,0
1522713600000,22.0,22.0,22.0,22.0,0
1522800000000,22.0,22.0,22.0,22.0,0
1522886400000,17.0,17.0,17.0,17.0,0
1522972800000,19.0,19.0,19.0,19.0,0
1523059200000,20.0,20.0,20.0,20.0,0
1523145600000,17.0,17.0,17.0,17.0,0
1523232000000,21.0,21.0,21.0,21.0,0
1523318400000,18.0,18.0,18.0,18.0,0
1523404800000,20.0,20.0,20.0,20.0,0
1523491200000,18.0,18.0,18.0,18.0,0
1523577600000,23.0,23.0,23.0,23.0,0
1523923200000,26.0,26.0,26.0,26.0,0
1524009600000,24.0,24.0,24.0,24.0,0
1524096000000,25.0,25.0,25.0,25.0,0
1524182400000,26.0,26.0,26.0,26.0,0
1524268800000,32.0,32.0,32.0,32.0,0
1524355200000,31.0,31.0,31.0,31.0,0
1524441600000,28.0,28.0,28.0,28.0,0
1524528000000,29.0,29.0,29.0,29.0,0
1524614400000,64.0,64.0,64.0,64.0,0
1524700800000,47.0,47.0,47.0,47.0,0
1524787200000,55.0,55.0,55.0,55.0,0
1524873600000,54.0,54.0,54.0,54.0,0
1524960000000,61.0,61.0,61.0,61.0,0
1525046400000,59.0,59.0,59.0,59.0,0
1525132800000,56.0,56.0,56.0,56.0,0
1525219200000,52.0,52.0,52.0,52.0,0
1525305600000,55.0,55.0,55.0,55.0,0
1525392000000,56.0,56.0,56.0,56.0,0
1525478400000,63.0,63.0,63.0,63.0,0
1525564800000,67.0,67.0,67.0,67.0,0
1525651200000,56.0,56.0,56.0,56.0,0
1525737600000,62.0,62.0,62.0,62.0,0
1525824000000,53.0,53.0,53.0,53.0,0
1525910400000,63.0,63.0,63.0,63.0,0
1525996800000,41.0,41.0,41.0,41.0,0
1526083200000,44.0,44.0,44.0,44.0,0
1526169600000,40.0,40.0,40.0,40.0,0
1526256000000,40.0,40.0,40.0,40.0,0
1526342400000,40.0,40.0,40.0,40.0,0
1526428800000,32.0,32.0,32.0,32.0,0
1526515200000,31.0,31.0,31.0,31.0,0
1526601600000,37.0,37.0,37.0,37.0,0
1526688000000,31.0,31.0,31.0,31.0,0
1526774400000,32.0,32.0,32.0,32.0,0
1526860800000,41.0,41.0,41.0,41.0,0
1526947200000,30.0,30.0,30.0,30.0,0
1527033600000,26.0,26.0,26.0,26.0,0
1527120000000,27.0,27.0,27.0,27.0,0
1527206400000,25.0,25.0,25.0,25.0,0
1527292800000,23.0,23.0,23.0,23.0,0
1527379200000,19.0,19.0,19.0,19.0,0
1527465600000,22.0,22.0,22.0,22.0,0
1527552000000,16.0,16.0,16.0,16.0,0
1527638400000,38.0,38.0,38.0,38.0,0
1527724800000,25.0,25.0,25.0,25.0,0
1527811200000,24.0,24.0,24.0,24.0,0
1527897600000,27.0,27.0,27.0,27.0,0
1527984000000,40.0,40.0,40.0,40.0,0
1528070400000,41.0,41.0,41.0,41.0,0
1528156800000,26.0,26.0,26.0,26.0,0
1528243200000,42.0,42.0,42.0,42.0,0
1528329600000,38.0,38.0,38.0,38.0,0
1528416000000,40.0,40.0,40.0,40.0,0
1528502400000,39.0,39.0,39.0,39.0,0
1528588800000,24.0,24.0,24.0,24.0,0
1528675200000,15.0,15.0,15.0,15.0,0
1528761600000,19.0,19.0,19.0,19.0,0
1528848000000,19.0,19.0,19.0,19.0,0
1528934400000,17.0,17.0,17.0,17.0,0
1529020800000,26.0,26.0,26.0,26.0,0
1529107200000,22.0,22.0,22.0,22.0,0
1529193600000,23.0,23.0,23.0,23.0,0
1529280000000,27.0,27.0,27.0,27.0,0
1529366400000,32.0,32.0,32.0,32.0,0
1529452800000,34.0,34.0,34.0,34.0,0
1529539200000,37.0,37.0,37.0,37.0,0
1529625600000,28.0,28.0,28.0,28.0,0
1529712000000,17.0,17.0,17.0,17.0,0
1529798400000,15.0,15.0,15.0,15.0,0
1529884800000,16.0,16.0,16.0,16.0,0
1529971200000,21.0,21.0,21.0,21.0,0
1530057600000,18.0,18.0,18.0,18.0,0
1530144000000,20.0,20.0,20.0,20.0,0
1530230400000,16.0,16.0,16.0,16.0,0
1530316800000,22.0,22.0,22.0,22.0,0
1530403200000,27.0,27.0,27.0,27.0,0
1530489600000,27.0,27.0,27.0,27.0,0
1530576000000,31.0,31.0,31.0,31.0,0
1530662400000,33.0,33.0,33.0,33.0,0
1530748800000,37.0,37.0,37.0,37.0,0
1530835200000,34.0,34.0,34.0,34.0,0
1530921600000,34.0,34.0,34.0,34.0,0
1531008000000,38.0,38.0,38.0,38.0,0
1531094400000,39.0,39.0,39.0,39.0,0
1531180800000,37.0,37.0,37.0,37.0,0
1531267200000,29.0,29.0,29.0,29.0,0
1531353600000,33.0,33.0,33.0,33.0,0
1531440000000,29.0,29.0,29.0,29.0,0
1531526400000,29.0,29.0,29.0,29.0,0
1531612800000,32.0,32.0,32.0,32.0,0
1531699200000,36.0,36.0,36.0,36.0,0
1531785600000,39.0,39.0,39.0,39.0,0
1531872000000,42.0,42.0,42.0,42.0,0
1531958400000,44.0,44.0,44.0,44.0,0
1532044800000,47.0,47.0,47.0,47.0,0
1532131200000,43.0,43.0,43.0,43.0,0
1532217600000,46.0,46.0,46.0,46.0,0
1532304000000,44.0,44.0,44.0,44.0,0
1532390400000,49.0,49.0,49.0,49.0,0
1532476800000,54.0,54.0,54.0,54.0,0
1532563200000,53.0,53.0,53.0,53.0,0
1532649600000,47.0,47.0,47.0,47.0,0
1532736000000,54.0,54.0,54.0,54.0,0
1532822400000,54.0,54.0,54.0,54.0,0
1532908800000,53.0,53.0,53.0,53.0,0
1532995200000,48.0,48.0,48.0,48.0,0
1533081600000,39.0,39.0,39.0,39.0,0
1533168000000,39.0,39.0,39.0,39.0,0
1533254400000,36.0,36.0,36.0,36.0,0
1533340800000,31.0,31.0,31.0,31.0,0
1533427200000,23.0,23.0,23.0,23.0,0
1533513600000,25.0,25.0,25.0,25.0,0
1533600000000,25.0,25.0,25.0,25.0,0
1533686400000,23.0,23.0,23.0,23.0,0
1533772800000,19.0,19.0,19.0,19.0,0
1533859200000,21.0,21.0,21.0,21.0,0
1533945600000,18.0,18.0,18.0,18.0,0
1534032000000,18.0,18.0,18.0,18.0,0
1534118400000,21.0,21.0,21.0,21.0,0
